epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
36,2020-08-31,162,PE,Petrolina,2611101,city,4157,1190.62281,0,76,0,0.0183,349145,False,True
36,2020-08-30,161,PE,Petrolina,2611101,city,4157,1190.62281,24,76,0,0.0183,349145,True,False
35,2020-08-29,160,PE,Petrolina,2611101,city,4133,1183.74887,9,76,1,0.0184,349145,False,False
35,2020-08-28,159,PE,Petrolina,2611101,city,4124,1181.17115,10,75,2,0.0182,349145,False,False
35,2020-08-27,158,PE,Petrolina,2611101,city,4114,1178.30701,18,73,2,0.0177,349145,False,False
35,2020-08-26,157,PE,Petrolina,2611101,city,4096,1173.15156,70,71,0,0.0173,349145,False,False
35,2020-08-25,156,PE,Petrolina,2611101,city,4026,1153.10258,5,71,0,0.0176,349145,False,False
35,2020-08-24,155,PE,Petrolina,2611101,city,4021,1151.67051,4,71,0,0.0177,349145,False,False
35,2020-08-23,154,PE,Petrolina,2611101,city,4017,1150.52485,65,71,0,0.0177,349145,False,False
34,2020-08-22,153,PE,Petrolina,2611101,city,3952,1131.90795,52,71,0,0.018,349145,False,False
34,2020-08-21,152,PE,Petrolina,2611101,city,3900,1117.01442,56,71,6,0.0182,349145,False,False
34,2020-08-20,151,PE,Petrolina,2611101,city,3844,1100.97524,102,65,0,0.0169,349145,False,False
34,2020-08-19,150,PE,Petrolina,2611101,city,3742,1071.76102,59,65,0,0.0174,349145,False,False
34,2020-08-18,149,PE,Petrolina,2611101,city,3683,1054.86259,9,65,0,0.0176,349145,False,False
34,2020-08-17,148,PE,Petrolina,2611101,city,3674,1052.28487,3,65,0,0.0177,349145,False,False
34,2020-08-16,147,PE,Petrolina,2611101,city,3671,1051.42563,56,65,0,0.0177,349145,False,False
33,2020-08-15,146,PE,Petrolina,2611101,city,3615,1035.38644,132,65,0,0.018,349145,False,False
33,2020-08-14,145,PE,Petrolina,2611101,city,3483,997.5798,130,65,0,0.0187,349145,False,False
33,2020-08-13,144,PE,Petrolina,2611101,city,3353,960.34599,124,65,1,0.0194,349145,False,False
33,2020-08-12,143,PE,Petrolina,2611101,city,3229,924.83066,125,64,0,0.0198,349145,False,False
33,2020-08-11,142,PE,Petrolina,2611101,city,3104,889.02891,26,64,0,0.0206,349145,False,False
33,2020-08-10,141,PE,Petrolina,2611101,city,3078,881.58215,6,64,2,0.0208,349145,False,False
33,2020-08-09,140,PE,Petrolina,2611101,city,3072,879.86367,61,62,0,0.0202,349145,False,False
32,2020-08-08,139,PE,Petrolina,2611101,city,3011,862.39242,98,62,2,0.0206,349145,False,False
32,2020-08-07,138,PE,Petrolina,2611101,city,2913,834.32385,136,60,3,0.0206,349145,False,False
32,2020-08-06,137,PE,Petrolina,2611101,city,2777,795.37155,80,57,0,0.0205,349145,False,False
32,2020-08-05,136,PE,Petrolina,2611101,city,2697,772.45843,156,57,1,0.0211,349145,False,False
32,2020-08-04,135,PE,Petrolina,2611101,city,2541,727.77786,7,56,0,0.022,349145,False,False
32,2020-08-03,134,PE,Petrolina,2611101,city,2534,725.77296,4,56,0,0.0221,349145,False,False
32,2020-08-02,133,PE,Petrolina,2611101,city,2530,724.6273,35,56,1,0.0221,349145,False,False
31,2020-08-01,132,PE,Petrolina,2611101,city,2495,714.60282,124,55,0,0.022,349145,False,False
31,2020-07-31,131,PE,Petrolina,2611101,city,2371,679.08749,171,55,3,0.0232,349145,False,False
31,2020-07-30,130,PE,Petrolina,2611101,city,2200,630.1107,231,52,0,0.0236,349145,False,False
